Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Phone,Customer_City,Customer_State,Customer_Pincode,Product_ID,Product_Name,Category,Sub_Category,Size,Color,Quantity,MRP,Sale_Price,Discount_Percent,Seller_ID,Seller_Name,Payment_Mode,Order_Status,Shipment_Date,Delivery_Date,Return_Status,Return_Date,Refund_Amount
MSH2025-001,2025-01-30,CUST1001,Neha Agarwal,9819473514,Ahmedabad,Gujarat,380066,PRD9500,Shirt - Grey L,Men Wear,Shirt,L,Grey,1,1469,1368,7,SLR101,FootwearPlaza,COD,Delivered,2025-01-31,2025-02-04,No,,0
MSH2025-002,2025-02-06,CUST1002,Rahul Yadav,9848767502,Bengaluru,Karnataka,560080,PRD1001,Handbag - White 38,Women Accessories,Handbag,38,White,3,1015,868,14,SLR161,KidsWorld,COD,Delivered,2025-02-07,2025-02-09,No,,0
MSH2025-003,2025-01-13,CUST1003,Amit Verma,9827369156,Bengaluru,Karnataka,560073,PRD4905,Palazzo Set - Red S,Women Wear,Palazzo Set,S,Red,2,817,545,33,SLR244,KidsWorld,Online,Returned,2025-01-14,,Yes,,545
MSH2025-004,2025-01-17,CUST1004,Neha Agarwal,9826635702,Kanpur,Uttar Pradesh,208010,PRD7846,Kurti - Red 44,Women Wear,Kurti,44,Red,3,1144,941,18,SLR65,BagStore,Online,Out for Delivery,2025-01-18,,No,,0
MSH2025-005,2025-01-09,CUST1005,Karan Sethi,9862684768,Jaipur,Rajasthan,302029,PRD5976,T-shirt - Green 40,Kids Wear,T-shirt,40,Green,2,1316,1050,20,SLR225,FashionKart,Online,Returned,2025-01-10,,Yes,,1050
MSH2025-006,2025-01-21,CUST1006,Riya Sharma,9860263348,Kanpur,Uttar Pradesh,208022,PRD6950,T-shirt - Pink 40,Men Wear,T-shirt,40,Pink,3,1405,1177,16,SLR202,BudgetFashion,COD,Out for Delivery,2025-01-22,,No,,0
MSH2025-007,2025-02-05,CUST1007,Riya Sharma,9819719283,Jaipur,Rajasthan,302026,PRD1406,Handbag - Maroon 42,Women Accessories,Handbag,42,Maroon,1,1494,1385,7,SLR92,EthnicBazaar,Online,Out for Delivery,2025-02-06,,No,,0
MSH2025-008,2025-02-06,CUST1008,Rahul Yadav,9880854199,Ahmedabad,Gujarat,380078,PRD2834,Track Pants - Grey 40,Men Wear,Track Pants,40,Grey,3,1952,1812,7,SLR291,FashionKart,Online,Out for Delivery,2025-02-07,,No,,0
MSH2025-009,2025-01-16,CUST1009,Deepika Singh,9840618463,Kolkata,West Bengal,700030,PRD3115,Leggings - Pink L,Women Wear,Leggings,L,Pink,2,436,330,24,SLR342,FootwearPlaza,Online,Returned,2025-01-17,,Yes,,330
MSH2025-010,2025-01-26,CUST1010,Neha Agarwal,9872107825,Bengaluru,Karnataka,560054,PRD4145,Leggings - Grey XXL,Women Wear,Leggings,XXL,Grey,1,684,335,51,SLR411,FashionKart,Online,Out for Delivery,2025-01-27,,No,,0
MSH2025-011,2025-01-21,CUST1011,Neha Agarwal,9817991320,Mumbai,Maharashtra,400053,PRD7331,T-shirt - White 40,Kids Wear,T-shirt,40,White,3,928,589,37,SLR464,TrendyFashion,COD,Delivered,2025-01-22,2025-01-25,No,,0
MSH2025-012,2025-02-05,CUST1012,Rahul Yadav,9843839495,Bengaluru,Karnataka,560069,PRD2595,Leggings - Yellow M,Women Wear,Leggings,M,Yellow,3,1480,1244,16,SLR146,BudgetFashion,COD,Cancelled,,,No,,0
MSH2025-013,2025-01-15,CUST1013,Deepika Singh,9825218275,Hyderabad,Telangana,500034,PRD9490,Sports Shoes - Red 9,Footwear,Sports Shoes,9,Red,3,1222,917,25,SLR335,BudgetFashion,Online,Out for Delivery,2025-01-16,,No,,0
MSH2025-014,2025-01-23,CUST1014,Neha Agarwal,9855341556,Hyderabad,Telangana,500027,PRD9975,T-shirt - Yellow 40,Men Wear,T-shirt,40,Yellow,3,420,280,33,SLR341,KidsWorld,COD,Returned,2025-01-24,,Yes,,280
MSH2025-015,2025-01-19,CUST1015,Neha Agarwal,9869123244,Jaipur,Rajasthan,302070,PRD5317,Sports Shoes - Brown 6-7Y,Footwear,Sports Shoes,6-7Y,Brown,3,850,667,22,SLR437,FashionKart,COD,Returned,2025-01-20,,Yes,,667
MSH2025-016,2025-01-11,CUST1016,Anjali Jain,9868831979,Kolkata,West Bengal,700036,PRD9855,T-shirt - Blue S,Men Wear,T-shirt,S,Blue,1,1943,1802,7,SLR137,SportStyle,COD,Returned,2025-01-12,,Yes,,1802
MSH2025-017,2025-02-09,CUST1017,Shreya Kapoor,9872525135,Kanpur,Uttar Pradesh,208049,PRD4847,Track Pants - Blue 40,Men Wear,Track Pants,40,Blue,1,1610,1473,9,SLR322,FashionKart,COD,Out for Delivery,2025-02-10,,No,,0
MSH2025-018,2025-01-21,CUST1018,Amit Verma,9855942258,Bengaluru,Karnataka,560024,PRD9166,Track Pants - Black XL,Men Wear,Track Pants,XL,Black,1,800,711,11,SLR435,TrendyFashion,Online,Out for Delivery,2025-01-22,,No,,0
MSH2025-019,2025-01-30,CUST1019,Amit Verma,9879045465,Delhi,Delhi,110049,PRD2611,T-shirt - White 44,Men Wear,T-shirt,44,White,3,1672,1424,15,SLR461,FootwearPlaza,Online,Delivered,2025-01-31,2025-02-04,No,,0
MSH2025-020,2025-01-30,CUST1020,Neha Agarwal,9848268707,Hyderabad,Telangana,500060,PRD1516,Leggings - Brown L,Women Wear,Leggings,L,Brown,1,1372,993,28,SLR127,BagStore,COD,Returned,2025-01-31,,Yes,,993
